Time_index,Gas,Wind,Solar
1,1,0.638433972,0
2,1,0.66035899,0
3,1,0.67890468,0
4,1,0.699159111,0.000254311
5,1,0.711604892,0.024093352
6,1,0.711499529,0.098728992
7,1,0.697792545,0.149186743
8,1,0.712711171,0.18395176
9,1,0.741850792,0.245626485
10,1,0.758134149,0.325921936
11,1,0.756758242,0.36151507
12,1,0.73573314,0.340475008
13,1,0.70471498,0.317450838
14,1,0.684285015,0.289761772
15,1,0.675299963,0.23754675
16,1,0.663280582,0.181453216
17,1,0.625957714,0.127875008
18,1,0.578852146,0.082605118
19,1,0.570354713,0.028532454
20,1,0.56771405,0.00069482
21,1,0.552617491,0
22,1,0.533879673,0
23,1,0.530147761,0
24,1,0.543100951,0
25,1,0.554404541,0
26,1,0.552669406,0
27,1,0.568073956,0
28,1,0.57110164,0.000052
29,1,0.568437226,0.023763745
30,1,0.541047228,0.143146516
31,1,0.486320226,0.266905342
32,1,0.476978119,0.344796317
33,1,0.482601214,0.416763083
34,1,0.491754231,0.463060791
35,1,0.500014477,0.472255178
36,1,0.499881421,0.460137946
37,1,0.508027786,0.434698144
38,1,0.532019276,0.393884709
39,1,0.580497197,0.337318581
40,1,0.606518365,0.284090184
41,1,0.601480673,0.215211694
42,1,0.62335972,0.133288321
43,1,0.657184223,0.040713971
44,1,0.674508103,0.001333788
45,1,0.670814707,0
46,1,0.644931362,0
47,1,0.623923947,0
48,1,0.60737274,0
49,1,0.590586679,0
50,1,0.580472538,0
51,1,0.588494837,0
52,1,0.60110793,0.0000571
53,1,0.626778769,0.014879682
54,1,0.615487261,0.076629872
55,1,0.573376281,0.148226451
56,1,0.585204843,0.21515589
57,1,0.6279222,0.277212732
58,1,0.673484256,0.337218354
59,1,0.706537219,0.373157946
60,1,0.719545846,0.386827393
61,1,0.719463624,0.387949185
62,1,0.710433117,0.365606086
63,1,0.707470713,0.312778242
64,1,0.685313806,0.249623673
65,1,0.632818803,0.18135937
66,1,0.56549166,0.1190127
67,1,0.520102751,0.043465496
68,1,0.554798751,0.001768996
69,1,0.575350827,0
70,1,0.573107625,0
71,1,0.560354776,0
72,1,0.576769297,0
73,1,0.589211977,0
74,1,0.576330447,0
75,1,0.560652036,0
76,1,0.552833643,0.000146004
77,1,0.54578102,0.019733863
78,1,0.462359845,0.090344982
79,1,0.371430438,0.183755529
80,1,0.376779911,0.255796166
81,1,0.407474508,0.316540228
82,1,0.44732069,0.359901706
83,1,0.46917586,0.364358665
84,1,0.482504948,0.351420708
85,1,0.488863263,0.379926281
86,1,0.486295322,0.40638606
87,1,0.454546375,0.396153562
88,1,0.412991848,0.37920885
89,1,0.345758252,0.352589992
90,1,0.272906523,0.29737434
91,1,0.221197808,0.125584244
92,1,0.24809867,0.005978883
93,1,0.249834421,0
94,1,0.226351055,0
95,1,0.181212312,0
96,1,0.145486662,0
97,1,0.121807234,0
98,1,0.111060411,0
99,1,0.112945294,0
100,1,0.126407693,0.0000733
101,1,0.136085123,0.03498685
102,1,0.096684454,0.176369356
103,1,0.067608154,0.341207914
104,1,0.076938899,0.45323511
105,1,0.082668514,0.493754369
106,1,0.090853585,0.519914348
107,1,0.102541664,0.550523557
108,1,0.123137729,0.57375924
109,1,0.132189649,0.600668814
110,1,0.125206945,0.623331926
111,1,0.118028236,0.596356528
112,1,0.099498118,0.540629524
113,1,0.076298782,0.478273005
114,1,0.046592843,0.332819677
115,1,0.0458158,0.121327952
116,1,0.052800408,0.006170862
117,1,0.055755696,0
118,1,0.050484955,0
119,1,0.042940131,0
120,1,0.031523423,0
121,1,0.02672698,0
122,1,0.025119924,0
123,1,0.024823274,0
124,1,0.026264651,0.00015869
125,1,0.026248143,0.034797153
126,1,0.022099932,0.191713858
127,1,0.009168661,0.398088795
128,1,0.007225457,0.572242308
129,1,0.010546589,0.668679902
130,1,0.021074522,0.709388369
131,1,0.039737049,0.708861868
132,1,0.060544674,0.703238498
133,1,0.088331954,0.711937064
134,1,0.101673891,0.709077093
135,1,0.107298453,0.679841286
136,1,0.084985796,0.645837899
137,1,0.058986192,0.596318116
138,1,0.042092081,0.4297963
139,1,0.037763748,0.154491038
140,1,0.057943023,0.0074761
141,1,0.06479248,0
142,1,0.072347139,0
143,1,0.083198311,0
144,1,0.082420946,0
145,1,0.08203522,0
146,1,0.092464612,0
147,1,0.115997719,0
148,1,0.158712361,0.000699
149,1,0.181629371,0.064782425
150,1,0.181100335,0.242261155
151,1,0.133111828,0.438562609
152,1,0.119631616,0.600766965
153,1,0.130920772,0.701847006
154,1,0.14689812,0.747896612
155,1,0.176193798,0.743509451
156,1,0.225337506,0.714696344
157,1,0.322416163,0.662998678
158,1,0.447831949,0.582863575
159,1,0.485245038,0.484582514
160,1,0.486483911,0.399144901
161,1,0.510393749,0.299666591
162,1,0.466822207,0.191645249
163,1,0.481594632,0.056619274
164,1,0.456066916,0.002110796
165,1,0.432976966,0
166,1,0.453107129,0
167,1,0.484845895,0
168,1,0.513170336,0