Time_index,Nuclear,Gas,Wind,Solar
1,1,1,0.68494853,0
2,1,1,0.692614111,0
3,1,1,0.680159421,0
4,1,1,0.646422253,0
5,1,1,0.593940318,0
6,1,1,0.524813729,0
7,1,1,0.440817151,0
8,1,1,0.352278879,0.038111604
9,1,1,0.239400568,0.29075245
10,1,1,0.109483869,0.369578495
11,1,1,0.036657481,0.306189237
12,1,1,0.044198283,0.285144123
13,1,1,0.10239894,0.293796574
14,1,1,0.221127048,0.337013125
15,1,1,0.38549002,0.331207884
16,1,1,0.557830216,0.124668214
17,1,1,0.686789148,0.004182489
18,1,1,0.748170653,0
19,1,1,0.777183888,0
20,1,1,0.802454061,0
21,1,1,0.8275552,0
22,1,1,0.851985842,0
23,1,1,0.855600345,0
24,1,1,0.854196009,0