Time_index,Gas,Wind
1,1,0.68494853
2,1,0.692614111
3,1,0.680159421
4,1,0.646422253
5,1,0.593940318
6,1,0.524813729
7,1,0.440817151
8,1,0.352278879
9,1,0.239400568
10,1,0.109483869
11,1,0.036657481
12,1,0.044198283
13,1,0.10239894
14,1,0.221127048
15,1,0.38549002
16,1,0.557830216
17,1,0.686789148
18,1,0.748170653
19,1,0.777183888
20,1,0.802454061
21,1,0.8275552
22,1,0.851985842
23,1,0.855600345
24,1,0.854196009
25,1,0.856294311
26,1,0.864152153
27,1,0.851181532
28,1,0.837681665
29,1,0.824010216
30,1,0.809699275
31,1,0.80784573
32,1,0.80925185
33,1,0.797591073
34,1,0.803546568
35,1,0.822894663
36,1,0.839367487
37,1,0.865960244
38,1,0.877791958
39,1,0.875138508
40,1,0.869785728
41,1,0.893428912
42,1,0.910019597
43,1,0.916271121
44,1,0.909353217
45,1,0.891439905
46,1,0.869670254
47,1,0.832974599
48,1,0.793542349
49,1,0.763308138
50,1,0.750113883
51,1,0.729198684
52,1,0.694957807
53,1,0.664635076
54,1,0.652681994
55,1,0.654510032
56,1,0.656831793
57,1,0.685611835
58,1,0.710704834
59,1,0.73184699
60,1,0.753444744
61,1,0.783215495
62,1,0.810086679
63,1,0.832747843
64,1,0.843621487
65,1,0.839757786
66,1,0.848142109
67,1,0.847643654
68,1,0.840592293
69,1,0.835683266
70,1,0.815284137
71,1,0.792055638
72,1,0.776937487
73,1,0.778780433
74,1,0.781845723
75,1,0.774579778
76,1,0.76719668
77,1,0.746091133
78,1,0.720104713
79,1,0.697194483
80,1,0.668614901
81,1,0.588500722
82,1,0.492294041
83,1,0.426508988
84,1,0.387617354
85,1,0.368630167
86,1,0.348753297
87,1,0.325582017
88,1,0.342419285
89,1,0.421194586
90,1,0.491498136
91,1,0.530174038
92,1,0.560614314
93,1,0.588634827
94,1,0.618488407
95,1,0.631586835
96,1,0.634114922
97,1,0.625072204
98,1,0.611443556
99,1,0.60095893
100,1,0.581095695
101,1,0.571942189
102,1,0.56852195
103,1,0.573054468
104,1,0.565829096
105,1,0.509623069
106,1,0.414385563
107,1,0.4075158
108,1,0.477393484
109,1,0.548520823
110,1,0.609572484
111,1,0.635056418
112,1,0.659058697
113,1,0.753922284
114,1,0.79164405
115,1,0.772671706
116,1,0.722850806
117,1,0.64023536
118,1,0.533723591
119,1,0.446611089
120,1,0.380713946
121,1,0.334838358
122,1,0.293422114
123,1,0.262970471
124,1,0.240307825
125,1,0.230041115
126,1,0.233121999
127,1,0.253209892
128,1,0.287210824
129,1,0.30866966
130,1,0.298078229
131,1,0.294153308
132,1,0.302193908
133,1,0.311812462
134,1,0.31479877
135,1,0.329843554
136,1,0.406384316
137,1,0.481766606
138,1,0.508242962
139,1,0.500322705
140,1,0.487164344
141,1,0.471454203
142,1,0.457647277
143,1,0.443126691
144,1,0.425550226
145,1,0.404291401
146,1,0.381325909
147,1,0.358329049
148,1,0.328585831
149,1,0.284562802
150,1,0.262027397
151,1,0.250109207
152,1,0.243361851
153,1,0.235562993
154,1,0.195754291
155,1,0.154895161
156,1,0.138304247
157,1,0.148503331
158,1,0.170285202
159,1,0.205395814
160,1,0.292966226
161,1,0.387995723
162,1,0.437415679
163,1,0.496967328
164,1,0.550311709
165,1,0.602665527
166,1,0.64334948
167,1,0.655445618
168,1,0.669109992